Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time,,,,,,,,
Truck-0,Route-0,(675.0 0.0 307.5),(675.0 0.0 600.0),42.031,0,30.963,,,,,,,2배속
Truck-7,Route-7,(675.0 0.0 307.5),(1125.0 0.0 300.0),98.932,14.36,73.564,,,,,,,
Truck-9,Route-9,(1125.0 0.0 457.5),(1125.0 0.0 600.0),110.919,0,24.045,14.27,50.502,,,,,
Truck-4,Route-4,(675.0 0.0 157.5),(1125.0 0.0 600.0),113.786,0,41.781,14.705,35.196,,,,,
Truck-3,Route-3,(225.0 0.0 592.5),(1125.0 0.0 150.0),120.152,0,33.17,0,64.882,,,,,
Truck-19,Route-19,(225.0 0.0 457.5),(1125.0 0.0 450.0),128.33,0,63.012,0,43.218,,,,,
Truck-13,Route-13,(1125.0 0.0 307.5),(1125.0 0.0 300.0),151.27,0,14.537,0.006,27.712,0,15.165,0,49.71,
Truck-16,Route-16,(225.0 0.0 307.5),(1125.0 0.0 0.0),169.153,0,68.446,0,24.124,0,43.444,,,
Truck-6,Route-6,(225.0 0.0 157.5),(1125.0 0.0 150.0),172.075,0,48.201,0.008,41.174,0,49.557,,,
Truck-0,Route-0,(675.0 0.0 307.5),(675.0 0.0 600.0),79.815,0,57.726,,,,,,,1배속
Truck-7,Route-7,(675.0 0.0 307.5),(1125.0 0.0 300.0),199.585,26.803,150.76,,,,,,,
Truck-9,Route-9,(1125.0 0.0 457.5),(1125.0 0.0 600.0),211.565,0,48.901,27.726,90.824,,,,,
Truck-4,Route-4,(675.0 0.0 157.5),(1125.0 0.0 600.0),217.305,0,77.658,26.81,68.724,,,,,
Truck-19,Route-19,(225.0 0.0 457.5),(1125.0 0.0 450.0),224.122,0,87.884,0.007,91.814,,,,,
Truck-3,Route-3,(225.0 0.0 592.5),(1125.0 0.0 150.0),233.065,0,62.946,0.014,125.991,,,,,
Truck-16,Route-16,(225.0 0.0 307.5),(1125.0 0.0 0.0),296.189,0,95.527,0.008,48.842,0.015,85.655,,,
Truck-6,Route-6,(225.0 0.0 157.5),(1125.0 0.0 150.0),297.839,0,54.903,0.008,82.457,0.007,94.313,,,
Truck-13,Route-13,(1125.0 0.0 307.5),(1125.0 0.0 300.0),301.587,0,26.783,0,57.289,0,28.776,0.015,100.254,
